Agency,Sub-contractor,Cluster,Site,Machine,Daily_Capacity,start_date,planned_end_date,expected_end_date,days_to_sept30,"Quantity 
to be remediated in MT","Cumulative Quantity remediated till date 
in MT",Active_site,net_to_be_remediated_mt,days_required,Quantity remediated today
Tharuni,Tharuni,Rajahmundry,Rajahmundry,M7,1200,,,,,"76,735","4,767",Yes,,,
Tharuni,Tharuni,Kakinada,Kakinada,"M9,M10",2000,,,,,"300,000","22,777",Yes,,,
Tharuni,V.Raju,Kakinada,Palacole,,600,,,,,"30,000","2,565",Yes,,,
Tharuni,Tharuni,Kakinada,Amalapuram,M12,600,,,,,"27,543","2,458",Yes,,,
Tharuni,Tharuni,Chilakaluripet,Chilakaluripet,M14,800,,,,,"166,278","15,416",Yes,,,
Tharuni,Tharuni,Chilakaluripet,Guntur,M13,900,,,,,"43,811","29,712",Yes,,,
Tharuni,Tharuni,Chilakaluripet,Narsaraopet,M26,800,,,,,"30,609","4,535",Yes,,,
Tharuni,Tharuni,Chilakaluripet,Bapatla,M15,1400,,,,,"46,264","2,123",Yes,,,
Tharuni,Tharuni,Chilakaluripet,Macherla,M16,600,,,,,"30,894","3,901",Yes,,,
Tharuni,Tharuni,Chilakaluripet,Piduguralla,,,,,,,"10,793",0,No,,,
Tharuni,Tharuni,Chilakaluripet,Vinukonda,,,,,,,"11,195",0,No,,,
Tharuni,Tharuni,Chilakaluripet,Dachepalli,,,,,,,"6,194",0,No,,,
Tharuni,Tharuni,Chilakaluripet,Ponnuru,,,,,,,"8,376",0,No,,,
Tharuni,Tharuni,Chilakaluripet,Repalle,,,,,,,"7,203",0,No,,,
Tharuni,Tharuni,Chilakaluripet,Gurazala,,,,,,,"1,675",0,No,,,
Tharuni,Tharuni,Chilakaluripet,Sattenapalle,,,,,,,0,0,No,,,
Tharuni,Tharuni,Chilakaluripet,Mangalagiri Tadepalli,,,,,,,0,0,No,,,
Tharuni,Coastline,Eluru,Eluru,,960,,,,,"53,348","  6,815 ",Yes,,,
Tharuni,Coastline,Eluru,Gudivada,,480,,,,,"42,953",0,No,,,
Tharuni,Coastline,Eluru,Machilipatnam,,480,,,,,"41,861","3,493",Yes,,,
Tharuni,V.Raju,Eluru,Bhimavaram,,500,,,,,"32,358",904,Yes,,,
Tharuni,V.Raju,Eluru,Tadepalligudem,,,,,,,"30,258",0,No,,,
Tharuni,Coastline,Eluru,Vijayawada,,,,,,,,0,No,,,
Tharuni,Coastline,Eluru,Jaggaiahpet,,,,,,,"12,987",0,No,,,
Tharuni,Coastline,Eluru,Kondapalli,,,,,,,"5,000",0,No,,,
Tharuni,Coastline,Eluru,Nandigama,,,,,,,"1,398",0,No,,,
Tharuni,V.Raju,Eluru,Nuzvid,,400,,,,,915,244,Yes,,,
Tharuni,Coastline,Eluru,Kovvur,,,,,,,915,0,No,,,
Tharuni,Tharuni,Kadapa,Proddatur,,1400,,,,,"70,730",0,No,,,
Tharuni,Tharuni,Kadapa,Rayachoti,,1200,,,,,"94,604",0,No,,,
Tharuni,Tharuni,Kadapa,Badvel,,500,,,,,"11,926",0,No,,,
Tharuni,Tharuni,Kadapa,Rajampet,,500,,,,,"11,800",0,No,,,
Tharuni,Tharuni,Kadapa,Mydukur,,,,,,,"11,244",0,No,,,
Tharuni,Tharuni,Kadapa,Pulivendula,,,,,,,"10,000",0,No,,,
Tharuni,Tharuni,Kadapa,Jammalamadugu,,,,,,,"4,916",0,No,,,
Tharuni,Tharuni,Kadapa,Yerraguntla,,,,,,,"2,021",0,No,,,
Tharuni,Tharuni,Kadapa,Kamalapuram,,,,,,,"1,763",0,No,,,
Tharuni,Srinivas,Hindupur,Hindupur,,,,,,,"49,020",0,No,,,
Tharuni,Srinivas,Hindupur,Dharmavaram,,700,,,,,"23,000","8,211",Yes,,,
Tharuni,Srinivas,Hindupur,Madakasira,,,,,,,664,664,Yes,,,
Tharuni,Srinivas,Hindupur,Puttaparthy,,,,,,,"10,299",0,No,,,
Tharuni,Srinivas,Hindupur,Kadiri,,,,,,,"20,000",0,No,,,
Tharuni,Srinivas,Hindupur,Penukonda,,700,,,,,"14,332","12,182",Yes,,,
Tharuni,Srinivas Shetty,Addanki,Ongole,,900,,,,,"61,929","17,476",Yes,,,
Tharuni,Srinivas Shetty,Addanki,Addanki,,700,,,,,"58,754","6,169",Yes,,,
Tharuni,Srinivas Shetty,Addanki,Markapuram,,700,,,,,"33,877","6,248",Yes,,,
Tharuni,Srinivas Shetty,Addanki,Chirala,,,,,,,"28,392",0,No,,,
Tharuni,Srinivas Shetty,Addanki,Kandukuru,,,,,,,"26,160",0,No,,,
Tharuni,Srinivas Shetty,Addanki,Chimakurthy,,,,,,,"14,459",0,No,,,
Tharuni,Srinivas Shetty,Addanki,Kanigiri,,,,,,,"11,662",0,No,,,
Tharuni,Srinivas Shetty,Addanki,Darsi,,,,,,,"1,602",0,No,,,
Tharuni,Srinivas Shetty,Addanki,Podili,,,,,,,"1,075",0,No,,,
